,text
3181,"<price>65<rating>88<whiskey>Old Pulteney Navigator, 46%<review>Navigator honors Old Pulteney’s seafaring heritage and promotional links with matters marine. The expression carries no age statement, is non-chill filtered, and has been matured in a mixture of bourbon and sherry casks. The nose features vanilla, sherry, American cream soda, ginger, orange peel, and cocoa powder. Complex. Mouth-tingling spices: ginger and nutmeg on the palate, with more oranges, and cocoa. Dries slowly, slightly powdery, with persistent citrus fruit, and a hint of brine. Value Pick."
3182,"<price>67<rating>85<whiskey>Glenglassaugh Torfa, 40%<review>Torfa is apparently Old Norse for “turf” or “peat,” and this no age statement Glenglassaugh was made using malt peated to around 20 ppm phenols. Heathery peatiness on the early nose, with dried fruits, malt, and cream soda. Ultimately, leathery, mellow smoke. Sweet and lively on the palate, after an initial flavor of coal soot, with ripe peaches, chili, and ginger, backed by floral peat and a hint of ozone. Spicy peat smoke in the relatively long and fruity finish. £40"
3183,"<price>350<rating>95<whiskey>Old Rip Van Winkle <review>Distilled in 1986. An excellent old wheated bourbon. Soothing oily texture, with notes of toffee, old rum, nougat, vanilla bean, candied fruit, black raspberry, corn bread, hints of Earl Grey tea, cinnamon, and nutmeg, with a smooth, polished oak finish. I recently reviewed a Pappy Van Winkle Family Reserve 23 year old (bottle #B1986) at 47.8%, which I also thought was outstanding, with a comparable flavor profile (although some earlier bottlings I tasted years ago were heavy on the oak), and it was priced at $220. Given this, you need to ask yourself if you want to pay the extra $130 or so for the higher strength, special decanter, pair of glasses, and wood box that comes with this new ORVW Family Selection. Or not."
3184,"<price>70<rating>84<whiskey>Auchentoshan Virgin Oak, 46%<review>Morrison Bowmore distillers has recently released a virgin oak-matured expression of its Auchentoshan single malt, which has no age statement. The North American oak casks have been charred prior to receiving this Lowland whisky as their first fillings. The result is a nose of Madeira, cinnamon, vanilla, and white pepper. Very spicy on the palate, with citrus fruits and plain chocolate. Lingering in the finish, with cocoa powder, icing sugar; becoming slightly more bitter with time."
3185,"<price>549<rating>89<whiskey>Oban 21 year old, 57.9%<review>Rather than the customary bourbon cask, this was aged in refill European oak butts. The nose is delicate, with brittle toffee, vibrant orange, pineapple, and a hint of barley. Mellow and fruity on the palate, with apricots, soft toffee, and table salt. Gingery oak and cocoa in the lengthy, slightly minty finish."
3186,"<price>100<rating>94<whiskey>Laphroaig Triple Wood, 48%<review>This is the first time I’ve been up for reviews here so I had a game plan: play it cool, mark tightly, let everyone know I’m hard to please. Then they gave me this, the whisky equivalent to front row tickets to Neil Young on his current Twisted Road tour: not just a chance to get up close and personal with an old favorite, but to do so with an old favorite who’s on fire. Laphroaig’s owners are intent on ensuring a big peaty engine for any new release, but this is a monster by anyone’s standards. It’s essentially Quarter Cask finished in oloroso sherry casks, so in addition to the intense charcoal smoke attack there are rich fruity notes; blackcurrant and berries. It’s an evening barbecue whisky. Grill that fish until it’s blackened and crispy, drizzle on lemon, and as the smoke rears up in protest, sip this. Big, moody, broody, fruity, and rich: what’s not to love? (Travel Retail and some European specialist retailers)"
3187,"<price>43<rating>76<whiskey>Santis Edition Santis, 40%<review>The least exciting or distinctive of the Santis range and in some ways the most Germanic and European, with a soft, sweet, and rounded taste that, depending on your point of view, is either flabby and ill-defined, or delightfully soft and cushion-like; the whisky equivalent of eating a milk chocolate bar with a honeycomb center.  €32"
3188,"<price>55<rating>88<whiskey>J.J. Corry The Hanson, 46%<review>Clean, pure, clinical aromas of a boutique, with light lemon fondant, vanilla, and basil leaves. Icing sugar, lemon, almonds, and sweet rose-scented Turkish delight flavors develop into butterscotch, peppercorn, ginger, fudge, and banana, rounded off with ripe fruits, melted butter, dried apple, sherbet, raspberry taffy, and raspberry bubble gum. Named after the exciseman that proposed to J.J. Corry’s daughter, this whiskey has plenty of stories to tell."
3189,"<price>70<rating>89<whiskey>Abraham Bowman Port Finished Bourbon 12 year old, 50%<review>Quite lush—the port influence is clearly obvious and adds a degree of opulence to this bourbon. Notes of ripe cherry dipped in caramel, then light molasses, blend in with more traditional bourbon notes of vanilla and spice. A pleasant diversion from the bourbon norm, and ideal for postprandial consumption. (It begs for a fine cigar, for those inclined.)"
3190,"<price>65<rating>90<whiskey>Virginia Distillery Co. Cider Cask Finished Virginia-Highland (Batch #2), 46%<review>Malty and biscuity aromas mingle seamlessly with vanilla, plums, raisins, and chocolate-covered bananas. The Highland scotch in the blend asserts itself with dry graininess and a floral character bordering on potpourri, but is well-balanced with cooked plum and pear, chocolate, ginger, and Fig Newton. Nuttiness and a bit of ash round out a pleasantly bitter-sweet finish that shows impressive length."
3191,"<price>34<rating>78<whiskey>Wigle Whim Hint of Hop, 46%<review>Like the Whim Mocha Porter, this is certified organic; a wheat whiskey made with locally-grown hops. Hard to tease out hops vs. small barrel oak spice in the nose; it’s bold and shouty. Wow. The hops are explosive in the mouth, flashing bitter on the tongue. The first sip was shocking, now it’s settling in, and becoming smoother, but I just don’t think this much hops is a good idea in a whiskey. Price is per 375 ml."
3192,"<price>129<rating>77<whiskey>Douglas Laing Old Particular (distilled at Port Dundas) 25 year old 1990, 51.5%<review>Squished rosehip, nuttiness, and seasoned wood, but there is little else of note on this one. The palate has corn sweetness, red fruits, pomegranate, cherry lips, and descends into soor ploom territory with more oak wood. The finish continues the woody theme with a residual baked apple note.  Port Dundas can be wonderful to drink, but with no shortage of good to great grain whisky on the market, I feel this one is past its best. (258 bottles) £90"
3193,"<price>75<rating>89<whiskey>Gordon & MacPhail (distilled at Caol Ila), 14 year old, 1991 vintage, 46%<review>Finished in cognac wood. The cognac wood influence might dominate other whiskies, but the Coal Ila is big enough for challenge. If anything, it seems to contribute a silky elegance to what would otherwise be a brooding, bare-knuckled whisky;. It works nicely. Notes of germinating barley, vanilla cream, grape preserve, and peat bonfire, with a salty, smoky finish. (Available in the Chicago area.) 
"
3194,"<price>126<rating>88<whiskey>Master of Malt Darkness! Clynelish 16 year old Oloroso Cask Finish, 54.9%<review>Darkness! is a range of cask strength single malts which have been finished for 3 months in 50-liter first-fill oloroso or Pedro Ximénez casks. Waxy on the nose, with dates, prunes, cherries, cocoa powder, window polish, and finally vanilla. Warm and spicy on the palate, with sweet sherry, hot chocolate, intense tropical fruit notes, and cloves. The fruit becomes more citric in the finish; nutty, with clove oil. £75"
3195,"<price>60<rating>80<whiskey>Pebble Beach, 12 year old, 43%<review>Identified on the label only as a single malt Speyside whisky, but does not disclose the distillery. A rounded, gently sweet whisky -- nothing too assertive here to offend anyone, and unpretentious -- with notes of vanilla, toasted coconut, caramel apple, honeydew melon, and ripe berries. Creamy finish."
3196,"<price>55<rating>90<whiskey>Smooth Ambler Contradiction Bourbon, 50%<review>Generously oaked, with toasty oak drive delivering brown spices and earthy dried apple on the nose. The palate pours sweet and rich, with warm corn porridge underscored with dark molasses and maple flavors. There is a lot to like here, from the boiled peanuts to a spiced palate, as the young, house-made whiskey imparts its verve to the 9 year old Indiana bourbon."
3197,"<price>1800<rating>80<whiskey>BenRiach 40 year old, 50%<review>Perhaps the oldest BenRiach on the market. I have great respect for whisky that has somehow managed to survive this many years without being bottled. If you want to taste a piece of history (which I can understand) and have unlimited funds, then go ahead and buy this. But, for the money, I prefer the BenRiach 25 year old (or even the 30 year old) to this whisky. Deeply layered oak -- from dried, spicy oak to juicy, damp oak. Notes of perfumed vanilla, roasted chestnut, and orange marmalade accentuate the oak. Pretty good for 40, but its best years are behind it."
3198,"<price>55<rating>87<whiskey>Glenmorangie Quinta Ruban 12 year old, 46%<review>Matured in bourbon casks for 10 years, followed by 2 years of finishing in ruby port pipes from the quintas, or wine estates, of Portugal. Stewed fruits, cloves, and port-soaked oak on the nose, which carry over to the sweet, viscous palate, along with milky coffee, fruit spices, and cereal. The overall effect of sticky sweetness lingers through the finish."
3199,"<price>48<rating>82<whiskey>Murray McDavid (distilled at Isle of Jura 1989 Vintage) 13 year old, 46%<review>Gold color. Aroma of vanilla, honeyed malt, subtle marshmallow, with background herbal, hay-like notes. Light and creamy in body. Creamy, malty, vanilla notes in flavor-honey sweet initially, but eventually drying out towards the finish, with soft herbal, grassy, hay notes. 
"
3200,"<price>125<rating>88<whiskey>Old Malt Cask (distilled at Ardbeg) 1992 Vintage, 50%<review>(Reviewers note: this is an exclusive bottling to Park Avenue Liquors, New York, NY.) This is signature Ardbeg: young (but not too young), bold, and with an attitude too! Its flavors are reminiscent of crumbled peat thrown on a campfire, with notes of damp earth, pepper, and seaweed. Still, there’s a soft underbelly of vanilla sweetness that helps to tame this beast and provide balance. A peppery, kippered, smoky finish entertains long after the whisky disappears. Make this your last whisky of the evening."
3201,"<price>40<rating>80<whiskey>O’Begley Poitin, 50%<review>A locally-grown mashbill of 75% barley, 20% malt, 5% oats. Very aromatic for unaged spirit: fresh, grainy, a bit feinty/vegetal, split rock, and a note like well-rinsed crisp sauerkraut. It’s a quick and lively one in the mouth, sweet and slippery, grain and hints of fresh herbs (fennel, mace, white peppercorn). The finish is a bit sticky—the oats, maybe—and sweet. Interesting stuff."
3202,"<price>180<rating>87<whiskey>Talisker Neist Point, 45.8%<review>A showcase of the wide range of Talisker’s characteristics. Very sweet fruits, vanilla, new leather, and a hint of brine on the nose. Smooth on the palate, with smoky dark berries, lively spices, and crème brûlée. Dark chocolate and slightly bitter tannins feature in the finish, along with ginger and very mild chili. (Travel Retail exclusive)"
3203,"<price>60<rating>84<whiskey>Laphroaig Cairdeas, 50.5%<review>Distinctively pale in color. (A hint of its age?) This annual limited edition release is finally available in the U.S. Youthful, vibrant, and thumping, with the sea flowing through its veins. Coal tar, peat smoke, brine, seaweed, bright fruit (pear, tangerine), and soft vanilla all compete for attention. The only thing holding me back from scoring it higher is that it comes across as a bit too youthful."
3204,"<price>117<rating>91<whiskey>Kavalan Solist Fino, 57.6%<review>Each cask of this nicely packaged malt is selected by the distiller, and so there is considerable variation between batches. This one is a step up from last year's releases. It's slightly weaker, but the nose has firmed up into a delightful mix of fresh juicy grape and a spicy dustiness. Tastewise this takes an amazing journey from plummy, sweet fruit up front to a slow dominance of dry sherry at the end. The finish is longer than before. Excellent. "
3205,"<price>130<rating>79<whiskey>Isle of Jura 21 year old, 43%<review>Jura’s newest offering, and the oldest in the portfolio. It is drastically different than its younger siblings-this one is quite sherried, as its deep amber color with reddish hues suggests. I really enjoy how this whisky tastes on the palate-it’s rich and silky with notes of fruitcake, toffee, maple, orange chocolate truffle, cinnamon, and nutmeg. You’ll find the same notes on the nose, but there are also elements-cloying fruit, perfume, and a peculiar fleshy component-which detract from an otherwise lovely whisky. 
"
3206,"<price>46<rating>93<whiskey>Angel’s Envy, 43.3%<review>Kentucky straight bourbon whiskey finished in a port pipe. This is veteran master distiller Lincoln Henderson’s newest creation, and it’s a beauty. Richly textured, silky, and well-rounded, with ripe berried fruits, candied tangerine, light toffee, maple syrup, and creamy vanilla, sprinkled with spice (cinnamon, hint of mint). Smooth, silky finish, and dangerously drinkable! The port pipe notes dovetail perfectly. Lovely just the way it is, but it’s begging for a cigar. My only gripe: why not 45 or 50% ABV? But I’m splitting hairs. I really enjoy this stuff!"
3207,"<price>65<rating>94<whiskey>Writers’ Tears Double Oak, 46%<review>This blend of single malt and pot still whiskeys exhibits the incredible synergy between chocolate, cinnamon, and pot still spices. Vinous at times from partial cognac-cask maturation, this has aromas of dark berry fruit, cinnamon, fudge, milk chocolate, malt biscuits, jellied fruit, and a smudge of dry spices. Compelling, well-structured whiskey, with cinnamon, chocolate, dark toffee, pepper, and ginger. It’s never cloying, nor overly sweet, just a richly rewarding glass."
3208,"<price>30<rating>86<whiskey>Strathcolm The Extra Special, 40%<review>This opens promisingly with creamy, buttery aromas of vanilla frosting, toasted crumpets, and dry spices, and delivers on that promise in flavor. A charming silky texture with vanilla sweetness, hints of lemon, spice, and flavors of baked goods arriving in time for the finish of toasted spice. One to splash over ice and sip in the great outdoors. (6,000 bottles)"
3209,"<price>100<rating>95<whiskey>Four Roses Limited Edition Single Barrel (2014 Release), 60%<review>Aged 11 years, this year’s single barrel release is a lively mix of caramel and bright, zingy orange on palate entry. Cinnamon, vanilla, and mint emerge mid-palate, leading to polished oak, baked apple, and a hint of leather on the finish. A lively bourbon, with crisp, clean flavors and nicely balanced. Another winner from Four Roses."
3210,"<price>101<rating>92<whiskey>Kavalan Solist Vinho Barrique Cask Strength, 59.2%<review>Kavalan is Taiwanese whisky from the King Car Company, and the progress its whiskeys are making is truly remarkable. With humidity roughly the same as Speyside — high — but the temperature more than 20° Fahrenheit  higher, maturation is on fast forward. This is just 4 years old, but it’s a monster mix of kumquat liqueur, tropical fruit, blackcurrant, and strawberry and cream candy. Later on some eastern spices, especially turmeric, bring it all back home. Remarkable. €70 Currently not available in the U.S."
3211,"<price>70<rating>90<whiskey>Big Peat Christmas Edition 2014, 55.7%<review>Brace yourself. This takes peat to the extreme, conjuring up a moist, chocolate slab of peat being cut and lifted out of the bog. So smoky, you will feel like you’re breathing in the dense clouds rising above the smoldering kilns. A punchy thwack of peat at full strength, and even if you cut it with water, it only highlights salty fishboxes and some buttery caramels cowering from the backdraft. A deliberately singular character, but utterly brilliant nonetheless. £46"
3212,"<price>68<rating>87<whiskey>Mackmyra Blomstertid, 46.1%<review>Angela D’Orazio matured a third of the component whiskies in cherry-wine casks for this seasonal creation. Rather than cherries, the fruity aroma of the wine is more apparent on the nose, together with crushed root ginger, hawthorn, drying tobacco leaf, and beefsteak tomatoes. This thick-textured dram exudes cherry, strawberry, and vanilla fudge, drawing the mouth before a late phase of rum and raisin, aniseed, peppermint, and menthol. 598 SEK"
3213,"<price>55<rating>80<whiskey>Wemyss The Spice King 12 Year Old, 40%<review>The least assertive of the Wemyss 12 year old range, and the most flighty. There's nothing wrong here, and the whisky's well-made and won't disappoint, but when you compare the spice hit here with what's on offer with other malts, this isn't shouting loudly enough. £35"
3214,"<price>155<rating>81<whiskey>Wemyss Malts (distilled at Aultmore) 20 year old 1982, 46%<review>Aultmore is part of the Dewar’s stable and another of Speyside’s forgotten light brigade. Here is a noseful of esters: bubblegum, pineapple, pink grapefruit, strawberries, and icing sugar. Visions of “Legally Blonde” flash through the mind. The palate is equally energetic, though with little cask influence it’s a bit gawky and slightly green, especially with water, suggesting that another year wouldn’t have done it any harm. Still, all very lovely.  £100"
3215,"<price>40<rating>74<whiskey>Koval Raksi Millet, 40%<review>A lively light fruitiness (white grapes, green plum) in the nose. Quite grainy, but with an interesting hint of vanilla and a slight saltiness. Finish is a bit astringent, unlike the other Koval spirits. I’m finding these an interesting exercise in distillation, and educational. "
3216,"<price>135<rating>88<whiskey>Royal Salute 21 year old The Malts Blend, 40%<review>This strikes an earnest tone with a nose of rich fruit, dried apricot, whole orange, macadamia nut, ground spices, and pepper crackers. A blend of 21 malts, and the first blended malt in Royal Salute’s 66-year history, this has a harmonious palate comprising citrus, apple, pear, barley sugar, and ginger spice, with a finish focused on orange and a little spice."
3217,"<price>55<rating>89<whiskey>Thomas H. Handy, 67.4%<review>A six-plus year old, barrel-strength rye whiskey. Young rye whiskeys show the true personality of the rye grain, and this is an excellent example. Bold spice notes of fresh mint, fiery cinnamon, and resinous clove. Sweeter notes of candied fruit, brandy, caramel, honey-tinged vanilla, and a suggestion of marzipan add balance. If you like your whiskeys young, bold, and unforgiving, this one’s for you."
3218,"<price>26<rating>81<whiskey>Old Forester Signature, 50%<review>Brown-Forman has made Old Forester since 1870. It sure is easy on the eyes: beautiful tawny hues against the light of sunset. Think Southern bakery. Lots of caramel, vanilla, freshly baked cornbread, nutmeg, cherry pie, and cocoa. Then add the spiciness. These delicious flavors don’t last long, making me wonder how it would fare with just a couple more years in the barrel."
3219,"<price>110<rating>89<whiskey>Caol Ila Stitchell Reserve, 59.6%<review>Caol Ila in unpeated guise. There’s no age statement, but what you get is a mix of the fresh and the mature: a vibrant attack with fresh Victoria plum, grapes, and a hint of oiliness. Give it time and the sensation is like afternoon tea at your auntie’s, with thickly-buttered scones dripping with honey or pineapple jam. The palate is equally sweet and gentle, and only needs a little drop of water to reveal light spice. A wee beauty."
3220,"<price>60<rating>87<whiskey>Glenkinchie 12 year old, 43%<review>Floral on the nose and quite delicate, with citrus fruit, spicy vanilla, walnuts, and cereal. The palate is smooth, with malt, orchard fruits, toffee apples, and graham crackers. An herbal note features early in the slowly drying finish."
3221,"<price>23<rating>77<whiskey>Wild Turkey Spiced, 43%<review>An odd roaring noseful of spices: vanilla, pepper, ginger, teaberry. Tastes perfumey first, then resolves to sweet vanilla, hot oak, and more teaberry. Can’t decide if it wants to be bourbon—it’s hot, and flexing oak—or candy, and does a poor job at both; it’s like a linebacker in a French maid’s outfit, just wrong. There are much better sweet, spicy whiskey mixes out there; the original Spicebox comes to mind."
3222,"<price>45<rating>85<whiskey>Buchanan’s Master, 40%<review>This adheres to the rules laid down by blender Keith Law. The nose yields mint toffees, cereal notes, butterscotch, and whole peppercorn. Juicy orange, with elements of burnt orange, dark toffees, and a pleasant balance of sweetness form the palate, followed by a wave of peppery spices and late dashes of dates and sultana. The finish has more peppery spice and peppermint. Obey the Law."
3223,"<price>70<rating>90<whiskey>Forty Creek Port Wood Reserve 2012 Edition, 45%<review>Opinion is seriously divided on whether this or an earlier Port Wood edition is the best thing ever to come from John K. Hall’s Forty Creek distillery in Grimsby, Ontario. A winemaker, Hall used his own port barrels to finish a mature blend of barley, corn, and rye whiskies. Stewed prunes, butterscotch, and licorice rule the nose, while the palate broadens into savory herbs, spiced fruit, sweet pipe tobacco, and hints of, yes, gunpowder. C$70"
3224,"<price>75<rating>90<whiskey>Arran Madeira Wine Cask Finish (2008 Limited Edition), 50%<review>This is not a single-cask bottling like other recent wine-finished releases, but the casks they selected are very good ones. Lovely antique amber color. The Madeira dovetails beautifully with the malt and oak, and it has matured nicely for a whisky less than ten years old. Lush notes of orange marmalade, raspberry tart, and panforte, all wrapped up in rich toffee and a dusting of nutmeg, cinnamon, and cocoa. A dry, resinous, spicy, tactile finish adds balance, complexity, and additional dimension. Smartly bottled at a higher strength. Some of these wine-finished Arran whiskies are impressive. This is one of them."
3225,"<price>400<rating>95<whiskey>Brora, 30 year old, 55.7%<review>Astonishingly fresh and clean for 30 years in oak, and with incredible depth. Slight oily texture. Appetizing brine, with honeyed vanilla, mustard seed, green olive, Seville orange, and lemon zest. Underlying smoke, damp peat, and seaweed. Put simply, Brora at its finest. 
"
3226,"<price>69<rating>86<whiskey>The Dalmore Dee Dram, 40%<review>With the percentage of former oloroso sherry-matured spirit ramped up to 60 percent in this Dee variant, the nose is deeper and richer than that of the Tweed Dram; Seville orange marmalade and a hint of cocoa. More immediate dark chocolate on the palate, with raisins and walnuts. The finish is lengthy, with plums, black coffee, and a suggestion of licorice. £42 Currently not available in the U.S."
3227,"<price>20<rating>88<whiskey>Sazerac Rye 6 year old, 45%<review>Youthful and very lively. Bold, crisp, spices (mint, cinnamon, vanilla) are softened by soothing, sweeter notes (candied fruit, coconut, caramel, and rum notes), becoming dry, flinty, and spicy on the finish. It is very clean and polished, and it is superior to other rye whiskeys in this age range. Nicely done!"
3228,"<price>180<rating>91<whiskey>Dalmore Cigar Malt Reserve, 44%<review>Aged in a mix of American white oak barrels, oloroso casks, and cabernet sauvignon barriques. Sherry, vanilla, caramel, ripe cherries, and sultanas on the nose. The palate yields characteristic Dalmore orange, plus brittle toffee, bitter chocolate, and cherry liqueur. Spicy licorice and soft oak in the finish."
3229,"<price>386<rating>87<whiskey>Glenfarclas Family Cask 1981 (Cask #57), 50.8%<review>This is a refill (or in 'Farclas terms, ‘plain’) hogshead, so there is less wood on show and more distillery. The nose is like a gentleman’s club at lunchtime: roasting meat, some pipe tobacco, polished wood, and the scent of a freshly-dug garden wafting through the windows. The palate shows slightly more fresh fruitiness (in line with the 1971 cask). There’s decent grip; think treacle this time. Fluxes and changes, which makes it all the more intriguing. £246"
3230,"<price>70<rating>96<whiskey>George T. Stagg, 71.4%<review>Another excellent Stagg, and considering its alcohol level, it’s also a good value if you can get it at this price. Notes of toffee, pot still rum, nougat, dates, tobacco, roasted nuts, polished oak, and leather. Great depth and nicely balanced. A masculine bourbon of character and structure."
3231,"<price>40<rating>84<whiskey>The Pogues, 40%<review>Named for the greatest London-Irish band of the 1980s, this produces stewed apple, raisin, vanilla cream, peppercorn, grated nutmeg, and a dirty ol’ mound of dunnage earth. A fiesta of apple, pineapple, grapefruit, bitter lemon, subdued honey, and caramel transition into stewed apples, rhubarb, lemon bonbons, and sweet vanilla. Lingering bitterness, like the band’s split. It’s a Big Apple Fairytale, but for the money, better streams of whiskey are available."
3232,"<price>40<rating>88<whiskey>Pike Creek 10 year old, 40%<review>This soft, fruity luxury is a stablemate to Corby’s Lot No. 40, and another resurrected member of the once-lost Canadian Whisky Guild. Hiram Walker’s distillery, where Pike Creek is made, is one of the largest in North America. However, the owner, Pernod-Ricard, encourages creativity and innovation as well as product reliability. Gingery dark fruits mingle with canned fruit and clean oak, while a peppery nuttiness lingers below soft red wine and white grapefruit. C$40"
3233,"<price>200<rating>89<whiskey>WhistlePig 15 year old Vermont Estate Oak Straight Rye Whisky, 46%<review>WhistlePig does nothing by half measures. They had massive oak trees culled from their Vermont property, coopered into heavily-charred barrels, then used them to finish batches of already mature 100% rye. Layer on layer of soft vanilla, old lumber, cinnamon, fresh orange peels, baking spice, dark fruits, and medicinal hints of resin. Peppery hot and oakily sweet. A slight dustiness and a big juicy butterscotch kiss."
3234,"<price>89<rating>93<whiskey>Masterson’s 10 year old Rye (batch PSF3), 45%<review>Masterson’s bottles singular rye whisky. Yes, this 100% rye-grain whisky is sourced, but finishing by 3 Badge Beverage in French oak casks makes it their own. Booming, gingery spices cavort on a creamy, leathery, almost oily palate. Snappy sour pickles and vague herbal notes contrast pointedly with sweet vanilla and hints of milk chocolate, dried black fruit, and aromatic pipe tobacco."
3235,"<price>126<rating>88<whiskey>The Famous Grouse Celebration, 40%<review>Available only at the distillery or online, and limited to 5,000 special decanters, this is a special Famous Grouse release to mark the 30th anniversary of the blend. Be careful, though:  it's not a 30 year old blend. But it is excellent and there's lots of very old, woody, and ripe malt in the mix. As Highland Park and The Macallan are in the stable, expect a fruity, oaky, superbly balanced treat.  £80"
3236,"<price>30<rating>87<whiskey>Elijah Craig Small Batch, 47%<review>A solid, basic bourbon, with pure sweetness, honey, marzipan, and wildflower notes. The sweet drive is nicely backed with drying oak on the pronounced finish, like sucking on a sweet and woody cherry Popsicle stick. A simple and enjoyable crowd pleaser, and smaller sibling to the Barrel Proof, our 2017 Whisky of the Year."
3237,"<price>100<rating>91<whiskey>Penderyn Portwood Single Malt, 46%<review>Subtle, well-judged port cask influence integrates well with the Penderyn spirit to produce an entrancing whisky. Substantial aromas of chocolate, dried fruits, dates, cocoa, snuff, and a prickle of spices rise from the glass. There’s good weight in the mouth, with flavors of chocolate, gingersnap, dates, dried cranberry, forest honey, a supportive chorus of spices, and a heavenly finish of dark sweet fruits. (792 bottles for U.S.)"
3238,"<price>196<rating>80<whiskey> Mackmyra Moment Norrsken, 53.2%<review>Moment is a series of special one-off single malt whisky releases, and allows the distillery to experiment with cask types. Some of the whiskies, such as this one, take the distillery back to an earlier, more intense and difficult era. So here we have mushroomy, earthy whisky with damp autumn leaves, artichoke, tobacco, and salted fish in the mix. It's a full-on savory experience, and not one for the faint-hearted. SEK 1295"
3239,"<price>130<rating>88<whiskey>Arran ‘The Devil’s Punch Bowl,’ 52.3%<review>6,660 bottles of The Devil’s Punch Bowl have been released, and the component whiskies come from 24 casks filled between 1996 and 2006. They include a number of sherry butts, and some peated spirit is included in the mix. The nose offers soft, mellow malt, dried fruits, and milk chocolate. Silky smooth and deceptively drinkable at full strength, the palate is nutty and notably fruity, with ginger and brittle toffee. A hint of barbecue sauce in the sweet finish."
3240,"<price>53<rating>89<whiskey>Pike Creek 15 year old Ontario Cabernet Sauvignon Barrel-Finished, 42%<review>This masterpiece of wine finishing yields a massive fruity nose with rich maple
toffee, greyed cedar, barrel wood, and baseball glove. A sweet, very fruity complex
palate features black pepper, cinnamon hearts, bristling spices, slightly bitter pulling
tannins, red wine, figs, and sandalwood. A longish finish shows grape tannins,
grapefruit pith, and red wine over maple notes and tingling spices. $70 CAD"
3241,"<price>85<rating>72<whiskey>Benromach Origins 1999 Vintage (Batch 1), 50%<review>Origins is Benromach’s new program to highlight different aspects of whisky-making, which I think is a great idea. This expression focuses on the use of Golden Promise barley to make the malt, which is then aged in a sherry cask. Unfortunately, there’s so much sherry here that I struggle to appreciate the impact or distinction from the Golden Promise barley. Notes of ripe orchard fruit, tangerine, beeswax, sticky toffee pudding, and toasted almond. Lingering smoke and waxed fruit stays through to the finish. A weighty Benromach (from the Golden Promise and/or the sherry). I find the nose pleasant enough, but the sherry-induced waxed fruit component that emerges mid-palate is just too dominant."
3242,"<price>65<rating>86<whiskey>Aberlour Casg Annamh (Batch #1), 48%<review>A new small-batch addition to the Aberlour line-up, Casg Annamh (Gaelic for ‘rare cask’) has been matured in European and American oak oloroso sherry casks. Rich, buttery caramel aromas, grilled pineapple, and ginger. The palate is smooth, and yields spicy vanilla, tangerines, and cloves. Lots of black pepper and licorice in the relatively long finish. Less complex than the distillery’s A’bunadh."
3243,"<price>300<rating>90<whiskey>Port Ellen, 1979 vintage, 28 year old, 53.8%<review>The seventh limited edition release of Port Ellen whiskies by Diageo. Not as vibrant and intense as younger bottlings (particularly on the nose), but nicely matured with a satisfying sweet foundation. Notes of toffee and roasted nuts permeate though the peat kiln smoke, coal tar, fish nets, and charred oak. Seaweed and brine, more reserved mid-palate, emerges noticeably on the finish. The Port Ellen bottlings are getting older (the distillery closed in 1983) and they are getting more expensive. This one still captures the essence of Port Ellen. 
"
3244,"<price>270<rating>87<whiskey>Highland Park ICE Edition, 53.9%<review>ICE Edition is a 17 year old matured predominantly in bourbon casks. Just 30,000 rather extravagantly presented bottles are available globally.  Fresh and fruity on the nose with light trademark Highland Park sweet smoke, ginger, and a hint of dry earth. In time the fruits become more clearly defined as pears and peaches. Full and viscous on the palate; vanilla, pepper, brief orchard fruits, then dry peat, licorice, aniseed, and a lingering, relatively dry finish."
3245,"<price>170<rating>81<whiskey>Scott's Selection (distilled at Longmorn), 33 year old, 1971 Vintage, 53.5%<review>Succulent, sappy, with plenty of oak. This whisky is quite fruity, with tangerine, lemon, and strawberries. It is balanced by fat barley, almonds and damp oak. It is not as polished and rounded as the Gordon & Macphail Longmorn reviewed above. Indeed, the fruity, damp oak notes can be quite dominant in this whisky. However, the whisky evolves constantly on the palate and there are some minty, spicy underlying notes which add intrigue. Definitely save this one for after dinner. 
"
3246,"<price>130<rating>88<whiskey>Dalmore 15 year old, 40%<review>Finished in sherry casks. The nose is slightly reticent, with orange peel, instant coffee, and a hint of burning coal. More obvious orange notes on the palate, with milk chocolate and drying oak. Dark chocolate and slightly bitter oak in the medium-length finish."
3247,"<price>282<rating>84<whiskey>Cadenhead’s (distilled at Littlemill) 36 year old, 40.2%<review>Cadenhead is responsible for this veteran cask strength release distilled in 1977 at the now-demolished distillery of Littlemill, located a couple of miles from Auchentoshan. The nose is sweet, with icing sugar, vanilla, honey, and peaches. Damp grass after a while. Initially sweet and full on the palate, slightly resinous, with marzipan and sherbet, then quite bitter oak kicks in. The marzipan and tannins fight it out in the finish. £175"
3248,"<price>50<rating>87<whiskey>Templeton 6 year old Rye, 45.75%<review>A burst of orange on the nose: orange blossom, orange peel, orange pekoe tea, candied orange slices. It also has sweet licorice, sage, honey, and blueberry. Light-bodied in the mouth with a bit of astringency; the flavors run to berry, orange, spearmint, and cinnamon, with gentle spice. On the finish, more fruit and cinnamon prevail, along with nuttiness and an undercurrent of herbal pine."
